
Triangle,0,20
,20,0
Time,Sx,Sy,V,EdgeSx,EdgeSy,EdgeW,Ep,Ek,Ec
3.35,19.150,2.264,14.140,19.100, 3.263,14.140,22.208,99.968,122.176
3.36,19.251,2.164,14.175,19.342, 3.160,14.175,21.226,100.469,121.695
3.37,19.351,2.063,14.211,19.582, 3.036,14.211,20.241,100.970,121.212
3.38,19.451,1.963,14.246,19.818, 2.893,14.246,19.255,101.473,120.728
3.39,19.552,1.862,14.281,20.048, 2.730,14.281,18.265,101.976,120.241
3.40,19.653,1.761,14.316,20.268, 2.550,14.316,17.273,102.480,119.754
3.41,19.755,1.659,14.352,20.475, 2.353,14.352,16.279,102.985,119.264
3.42,19.856,1.558,14.387,20.669, 2.141,14.387,15.282,103.491,118.773
3.43,19.958,1.456,14.422,20.846, 1.916,14.422,14.283,103.997,118.280
3.44,20.060,1.354,14.457,21.005, 1.682,14.457,13.281,104.504,117.785
3.45,20.163,1.252,14.492,21.145, 1.440,14.492,12.277,105.011,117.289
3.46,20.265,1.149,14.527,21.264, 1.193,14.527,11.271,105.520,116.791
3.47,20.368,1.046,14.562,21.363, 0.945,14.562,10.262,106.029,116.291
3.48,20.471,0.943,14.597,21.441, 0.698,14.597,9.250,106.539,115.789
3.49,20.575,0.840,14.632,21.498, 0.456,14.632,8.237,107.049,115.286
3.50,20.678,0.736,14.667,21.536, 0.222,14.667,7.220,107.561,114.781
3.51,20.782,0.632,14.702,21.555, -0.002,14.702,6.202,108.072,114.274
3.52,20.886,0.528,14.737,21.558, -0.212,14.737,5.181,108.585,113.766
3.53,20.990,0.424,14.771,21.546, -0.407,14.771,4.157,109.098,113.256
3.54,21.095,0.319,14.806,21.522, -0.585,14.806,3.132,109.613,112.744
3.55,21.200,0.214,14.841,21.489, -0.743,14.841,2.103,110.127,112.231
3.56,21.305,0.109,14.876,21.449, -0.880,14.876,1.073,110.643,111.715
3.57,21.410,0.004,14.910,21.406, -0.996,14.910,0.039,111.159,111.198
3.58,21.516,-0.102,14.945,21.363, -1.090,14.945,0.996,111.676,112.672

Triangle,0,20
,20,0
Time,Sx,Sy,V,EdgeSx,EdgeSy,EdgeW,Ep,Ek,Ec
0,1.414,20.000,0.042,1.415, 21.000,0.042,196.199,0.001,196.199
0.01,1.415,19.999,0.083,1.416, 20.999,0.083,196.194,0.003,196.198
0.02,1.416,19.999,0.125,1.417, 20.999,0.125,196.187,0.008,196.195
0.03,1.417,19.998,0.166,1.420, 20.998,0.166,196.177,0.014,196.191
0.04,1.418,19.996,0.208,1.423, 20.996,0.208,196.164,0.022,196.186
0.05,1.420,19.995,0.249,1.427, 20.995,0.249,196.148,0.031,196.179
0.06,1.421,19.993,0.290,1.432, 20.993,0.290,196.129,0.042,196.172
0.07,1.424,19.991,0.332,1.437, 20.991,0.332,196.108,0.055,196.163
0.08,1.426,19.988,0.373,1.443, 20.988,0.373,196.083,0.070,196.153
0.09,1.429,19.985,0.414,1.450, 20.985,0.414,196.056,0.086,196.142
0.10,1.432,19.982,0.455,1.457, 20.982,0.455,196.026,0.104,196.130
0.11,1.435,19.979,0.496,1.465, 20.978,0.496,195.993,0.123,196.116
0.12,1.439,19.975,0.538,1.474, 20.975,0.538,195.957,0.144,196.102
0.13,1.443,19.971,0.579,1.484, 20.970,0.579,195.918,0.167,196.086
0.14,1.447,19.967,0.620,1.494, 20.966,0.620,195.877,0.192,196.069
0.15,1.452,19.963,0.661,1.505, 20.961,0.661,195.832,0.218,196.051
0.16,1.457,19.958,0.702,1.516, 20.956,0.702,195.785,0.246,196.031
0.17,1.462,19.953,0.742,1.529, 20.950,0.742,195.735,0.276,196.011
0.18,1.467,19.947,0.783,1.542, 20.944,0.783,195.682,0.307,195.989
0.19,1.473,19.942,0.824,1.555, 20.938,0.824,195.626,0.340,195.966
0.20,1.479,19.936,0.865,1.570, 20.931,0.865,195.568,0.374,195.942
0.21,1.485,19.929,0.906,1.585, 20.924,0.906,195.506,0.410,195.917
0.22,1.491,19.923,0.946,1.600, 20.917,0.946,195.442,0.448,195.890
0.23,1.498,19.916,0.987,1.617, 20.909,0.987,195.375,0.487,195.862
0.24,1.505,19.909,1.028,1.634, 20.900,1.028,195.305,0.528,195.833
0.25,1.513,19.901,1.068,1.652, 20.892,1.068,195.233,0.571,195.803
0.26,1.521,19.894,1.109,1.670, 20.882,1.109,195.157,0.615,195.772
0.27,1.529,19.886,1.149,1.689, 20.873,1.149,195.079,0.660,195.739
0.28,1.537,19.877,1.190,1.709, 20.862,1.190,194.998,0.708,195.705
0.29,1.545,19.869,1.230,1.730, 20.852,1.230,194.914,0.757,195.670
0.30,1.554,19.860,1.270,1.751, 20.841,1.270,194.827,0.807,195.634
0.31,1.563,19.851,1.311,1.773, 20.829,1.311,194.737,0.859,195.596
0.32,1.573,19.842,1.351,1.795, 20.816,1.351,194.645,0.913,195.558
0.33,1.582,19.832,1.391,1.818, 20.804,1.391,194.550,0.968,195.518
0.34,1.592,19.822,1.432,1.842, 20.790,1.432,194.452,1.025,195.477
0.35,1.603,19.812,1.472,1.866, 20.776,1.472,194.351,1.083,195.434
0.36,1.613,19.801,1.512,1.891, 20.762,1.512,194.248,1.143,195.391
0.37,1.624,19.790,1.552,1.916, 20.746,1.552,194.142,1.204,195.346
0.38,1.635,19.779,1.592,1.943, 20.731,1.592,194.033,1.267,195.300
0.39,1.647,19.768,1.632,1.969, 20.714,1.632,193.921,1.332,195.252
0.40,1.658,19.756,1.672,1.997, 20.697,1.672,193.806,1.398,195.204
0.41,1.670,19.744,1.712,2.024, 20.679,1.712,193.689,1.465,195.154
0.42,1.682,19.732,1.752,2.053, 20.661,1.752,193.569,1.534,195.103
0.43,1.695,19.719,1.792,2.082, 20.641,1.792,193.446,1.605,195.051
0.44,1.708,19.706,1.831,2.111, 20.621,1.831,193.320,1.677,194.997
0.45,1.721,19.693,1.871,2.141, 20.601,1.871,193.192,1.751,194.942
0.46,1.734,19.680,1.911,2.172, 20.579,1.911,193.061,1.826,194.886
0.47,1.748,19.666,1.951,2.202, 20.557,1.951,192.927,1.902,194.829
0.48,1.762,19.652,1.990,2.234, 20.534,1.990,192.790,1.981,194.770
0.49,1.776,19.638,2.030,2.266, 20.510,2.030,192.651,2.060,194.711
0.50,1.791,19.624,2.069,2.298, 20.485,2.069,192.508,2.141,194.650
0.51,1.805,19.609,2.109,2.331, 20.460,2.109,192.363,2.224,194.587
0.52,1.820,19.594,2.148,2.364, 20.433,2.148,192.216,2.308,194.524
0.53,1.836,19.579,2.188,2.397, 20.406,2.188,192.065,2.393,194.459
0.54,1.851,19.563,2.227,2.431, 20.378,2.227,191.912,2.480,194.393
0.55,1.867,19.547,2.267,2.465, 20.349,2.267,191.756,2.569,194.325
0.56,1.883,19.531,2.306,2.499, 20.319,2.306,191.598,2.659,194.257
0.57,1.900,19.514,2.345,2.534, 20.288,2.345,191.436,2.750,194.187
0.58,1.917,19.498,2.385,2.569, 20.256,2.385,191.272,2.843,194.115
0.59,1.934,19.481,2.424,2.604, 20.223,2.424,191.106,2.937,194.043
0.60,1.951,19.463,2.463,2.639, 20.189,2.463,190.936,3.033,193.969
0.61,1.968,19.446,2.502,2.674, 20.154,2.502,190.764,3.130,193.894
0.62,1.986,19.428,2.541,2.710, 20.118,2.541,190.589,3.229,193.818
0.63,2.004,19.410,2.580,2.745, 20.081,2.580,190.411,3.329,193.740
0.64,2.023,19.392,2.619,2.781, 20.044,2.619,190.231,3.430,193.661
0.65,2.041,19.373,2.658,2.816, 20.005,2.658,190.048,3.533,193.581
0.66,2.060,19.354,2.697,2.852, 19.965,2.697,189.862,3.637,193.500
0.67,2.079,19.335,2.736,2.888, 19.924,2.736,189.674,3.743,193.417
0.68,2.099,19.315,2.775,2.923, 19.882,2.775,189.483,3.850,193.333
0.69,2.119,19.295,2.814,2.958, 19.839,2.814,189.289,3.959,193.248
0.70,2.139,19.275,2.853,2.993, 19.795,2.853,189.092,4.069,193.161
0.71,2.159,19.255,2.891,3.028, 19.750,2.891,188.893,4.180,193.073
0.72,2.180,19.235,2.930,3.063, 19.704,2.930,188.691,4.293,192.984
0.73,2.200,19.214,2.969,3.097, 19.657,2.969,188.487,4.407,192.893
0.74,2.222,19.193,3.007,3.131, 19.608,3.007,188.279,4.522,192.801
0.75,2.243,19.171,3.046,3.165, 19.559,3.046,188.069,4.639,192.708
0.76,2.265,19.150,3.084,3.198, 19.509,3.084,187.857,4.757,192.614
0.77,2.287,19.128,3.123,3.230, 19.458,3.123,187.641,4.877,192.518
0.78,2.309,19.105,3.161,3.263, 19.406,3.161,187.423,4.997,192.421
0.79,2.331,19.083,3.200,3.294, 19.353,3.200,187.203,5.120,192.323
0.80,2.354,19.060,3.238,3.325, 19.299,3.238,186.980,5.243,192.223
0.81,2.377,19.037,3.277,3.355, 19.245,3.277,186.754,5.368,192.122
0.82,2.400,19.014,3.315,3.385, 19.189,3.315,186.525,5.495,192.020
0.83,2.424,18.990,3.353,3.414, 19.132,3.353,186.294,5.622,191.916
0.84,2.448,18.966,3.392,3.442, 19.075,3.392,186.060,5.751,191.811
0.85,2.472,18.942,3.430,3.469, 19.017,3.430,185.823,5.882,191.705
0.86,2.496,18.918,3.468,3.496, 18.958,3.468,185.584,6.013,191.597
0.87,2.521,18.893,3.506,3.521, 18.899,3.506,185.342,6.146,191.488
0.88,2.546,18.868,3.544,3.546, 18.838,3.544,185.097,6.281,191.378
0.89,2.571,18.843,3.582,3.569, 18.778,3.582,184.850,6.416,191.266
0.90,2.597,18.818,3.620,3.591, 18.716,3.620,184.600,6.553,191.154
0.91,2.622,18.792,3.658,3.613, 18.655,3.658,184.348,6.691,191.039
0.92,2.648,18.766,3.696,3.633, 18.592,3.696,184.093,6.831,190.924
0.93,2.675,18.740,3.734,3.652, 18.529,3.734,183.835,6.972,190.807
0.94,2.701,18.713,3.772,3.670, 18.466,3.772,183.575,7.114,190.689
0.95,2.728,18.686,3.810,3.687, 18.403,3.810,183.312,7.257,190.569
0.96,2.755,18.659,3.848,3.703, 18.339,3.848,183.046,7.402,190.448
0.97,2.782,18.632,3.885,3.717, 18.276,3.885,182.778,7.548,190.326
0.98,2.810,18.604,3.923,3.730, 18.212,3.923,182.507,7.695,190.202
0.99,2.838,18.576,3.961,3.742, 18.148,3.961,182.234,7.844,190.077
1.00,2.866,18.548,3.998,3.752, 18.084,3.998,181.958,7.993,189.951
1.01,2.894,18.520,4.036,3.761, 18.021,4.036,181.679,8.144,189.824
1.02,2.923,18.491,4.074,3.769, 17.957,4.074,181.398,8.297,189.695
1.03,2.952,18.462,4.111,3.775, 17.894,4.111,181.114,8.450,189.564
1.04,2.981,18.433,4.149,3.780, 17.832,4.149,180.828,8.605,189.433
1.05,3.011,18.404,4.186,3.784, 17.769,4.186,180.539,8.761,189.300
1.06,3.040,18.374,4.223,3.786, 17.708,4.223,180.247,8.919,189.165
1.07,3.070,18.344,4.261,3.787, 17.647,4.261,179.953,9.077,189.030
1.08,3.101,18.314,4.298,3.787, 17.586,4.298,179.656,9.237,188.893
1.09,3.131,18.283,4.335,3.786, 17.527,4.335,179.356,9.398,188.754
1.10,3.162,18.252,4.373,3.783, 17.468,4.373,179.054,9.560,188.614
1.11,3.193,18.221,4.410,3.779, 17.411,4.410,178.750,9.724,188.473
1.12,3.224,18.190,4.447,3.774, 17.354,4.447,178.442,9.888,188.331
1.13,3.256,18.158,4.484,3.768, 17.299,4.484,178.133,10.054,188.187
1.14,3.288,18.126,4.521,3.760, 17.245,4.521,177.820,10.221,188.042
1.15,3.320,18.094,4.558,3.752, 17.192,4.558,177.505,10.390,187.895
1.16,3.352,18.062,4.595,3.742, 17.141,4.595,177.188,10.559,187.747
1.17,3.385,18.029,4.633,3.732, 17.092,4.633,176.868,10.730,187.598
1.18,3.418,17.996,4.669,3.721, 17.044,4.669,176.545,10.902,187.447
1.19,3.451,17.963,4.706,3.709, 16.997,4.706,176.220,11.075,187.295
1.20,3.484,17.930,4.743,3.697, 16.953,4.743,175.892,11.249,187.142
1.21,3.518,17.896,4.780,3.684, 16.910,4.780,175.562,11.425,186.987
1.22,3.552,17.862,4.817,3.670, 16.869,4.817,175.229,11.602,186.831
1.23,3.586,17.828,4.854,3.656, 16.831,4.854,174.894,11.780,186.673
1.24,3.621,17.794,4.891,3.642, 16.794,4.891,174.556,11.959,186.514
1.25,3.655,17.759,4.927,3.628, 16.759,4.927,174.215,12.139,186.354
1.26,3.690,17.724,4.964,3.613, 16.727,4.964,173.872,12.320,186.192
1.27,3.725,17.689,5.001,3.599, 16.697,5.001,173.527,12.503,186.029
1.28,3.761,17.653,5.037,3.585, 16.669,5.037,173.178,12.686,185.865
1.29,3.797,17.618,5.074,3.571, 16.643,5.074,172.828,12.871,185.699
1.30,3.833,17.582,5.110,3.558, 16.620,5.110,172.475,13.057,185.532
1.31,3.869,17.545,5.147,3.545, 16.599,5.147,172.119,13.244,185.363
1.32,3.905,17.509,5.183,3.533, 16.581,5.183,171.761,13.433,185.193
1.33,3.942,17.472,5.220,3.522, 16.564,5.220,171.400,13.622,185.022
1.34,3.979,17.435,5.256,3.512, 16.551,5.256,171.036,13.813,184.849
1.35,4.017,17.398,5.292,3.504, 16.539,5.292,170.671,14.004,184.675
1.36,4.054,17.360,5.329,3.496, 16.530,5.329,170.302,14.197,184.499
1.37,4.092,17.322,5.365,3.491, 16.523,5.365,169.931,14.391,184.322
1.38,4.130,17.284,5.401,3.486, 16.519,5.401,169.558,14.586,184.144
1.39,4.168,17.246,5.437,3.484, 16.516,5.437,169.182,14.782,183.964
1.40,4.207,17.207,5.474,3.484, 16.516,5.474,168.804,14.980,183.783
1.41,4.246,17.168,5.510,3.486, 16.518,5.510,168.423,15.178,183.601
1.42,4.285,17.129,5.546,3.490, 16.522,5.546,168.039,15.378,183.417
1.43,4.324,17.090,5.582,3.497, 16.528,5.582,167.653,15.578,183.231
1.44,4.364,17.050,5.618,3.507, 16.535,5.618,167.265,15.780,183.045
1.45,4.404,17.011,5.654,3.519, 16.545,5.654,166.874,15.983,182.857
1.46,4.444,16.970,5.690,3.534, 16.555,5.690,166.480,16.187,182.667
1.47,4.484,16.930,5.726,3.552, 16.568,5.726,166.084,16.392,182.476
1.48,4.525,16.890,5.762,3.573, 16.581,5.762,165.686,16.598,182.284
1.49,4.566,16.849,5.797,3.598, 16.596,5.797,165.285,16.805,182.090
1.50,4.607,16.808,5.833,3.626, 16.611,5.833,164.882,17.013,181.895
1.51,4.648,16.766,5.869,3.658, 16.628,5.869,164.476,17.222,181.698
1.52,4.690,16.725,5.905,3.693, 16.644,5.905,164.068,17.433,181.500
1.53,4.732,16.683,5.940,3.732, 16.662,5.940,163.657,17.644,181.301
1.54,4.774,16.641,5.976,3.774, 16.679,5.976,163.243,17.857,181.100
1.55,4.816,16.598,6.012,3.821, 16.697,6.012,162.828,18.070,180.898
1.56,4.859,16.555,6.047,3.871, 16.714,6.047,162.409,18.285,180.694
1.57,4.902,16.513,6.083,3.926, 16.730,6.083,161.989,18.500,180.489
1.58,4.945,16.469,6.118,3.984, 16.746,6.118,161.565,18.717,180.282
1.59,4.988,16.426,6.154,4.046, 16.761,6.154,161.140,18.935,180.075
1.60,5.032,16.382,6.189,4.112, 16.775,6.189,160.712,19.154,179.865
1.61,5.076,16.339,6.225,4.182, 16.788,6.225,160.281,19.373,179.654
1.62,5.120,16.294,6.260,4.256, 16.798,6.260,159.848,19.594,179.442
1.63,5.164,16.250,6.295,4.334, 16.807,6.295,159.413,19.816,179.229
1.64,5.209,16.205,6.331,4.415, 16.814,6.331,158.975,20.039,179.014
1.65,5.254,16.160,6.366,4.500, 16.818,6.366,158.534,20.263,178.797
1.66,5.299,16.115,6.401,4.589, 16.820,6.401,158.092,20.488,178.579
1.67,5.344,16.070,6.436,4.681, 16.818,6.436,157.646,20.714,178.360
1.68,5.390,16.024,6.472,4.776, 16.814,6.472,157.199,20.941,178.139
1.69,5.436,15.978,6.507,4.875, 16.806,6.507,156.748,21.169,177.917
1.70,5.482,15.932,6.542,4.976, 16.795,6.542,156.296,21.398,177.694
1.71,5.528,15.886,6.577,5.080, 16.780,6.577,155.841,21.628,177.469
1.72,5.575,15.839,6.612,5.186, 16.761,6.612,155.383,21.859,177.242
1.73,5.622,15.792,6.647,5.295, 16.738,6.647,154.924,22.091,177.014
1.74,5.669,15.745,6.682,5.406, 16.710,6.682,154.461,22.324,176.785
1.75,5.716,15.698,6.717,5.518, 16.678,6.717,153.997,22.557,176.554
1.76,5.764,15.650,6.752,5.633, 16.642,6.752,153.529,22.792,176.322
1.77,5.812,15.602,6.787,5.748, 16.600,6.787,153.060,23.028,176.088
1.78,5.860,15.554,6.821,5.864, 16.554,6.821,152.588,23.265,175.853
1.79,5.908,15.506,6.856,5.981, 16.503,6.856,152.114,23.503,175.617
1.80,5.957,15.457,6.891,6.097, 16.447,6.891,151.637,23.742,175.379
1.81,6.006,15.409,6.926,6.214, 16.387,6.926,151.158,23.982,175.139
1.82,6.055,15.359,6.960,6.331, 16.321,6.960,150.676,24.222,174.898
1.83,6.104,15.310,6.995,6.446, 16.250,6.995,150.192,24.464,174.656
1.84,6.154,15.261,7.029,6.561, 16.174,7.029,149.706,24.707,174.412
1.85,6.204,15.211,7.064,6.674, 16.093,7.064,149.217,24.950,174.167
1.86,6.254,15.161,7.099,6.785, 16.007,7.099,148.725,25.195,173.921
1.87,6.304,15.110,7.133,6.895, 15.917,7.133,148.232,25.441,173.672
1.88,6.354,15.060,7.168,7.001, 15.822,7.168,147.736,25.687,173.423
1.89,6.405,15.009,7.202,7.105, 15.723,7.202,147.237,25.934,173.172
1.90,6.456,14.958,7.236,7.206, 15.620,7.236,146.737,26.183,172.920
1.91,6.508,14.907,7.271,7.303, 15.512,7.271,146.234,26.432,172.666
1.92,6.559,14.855,7.305,7.397, 15.401,7.305,145.728,26.682,172.410
1.93,6.611,14.803,7.339,7.486, 15.287,7.339,145.220,26.933,172.154
1.94,6.663,14.751,7.374,7.571, 15.169,7.374,144.710,27.186,171.895
1.95,6.715,14.699,7.408,7.652, 15.049,7.408,144.197,27.439,171.636
1.96,6.768,14.646,7.442,7.728, 14.926,7.442,143.682,27.692,171.374
1.97,6.820,14.594,7.476,7.799, 14.801,7.476,143.165,27.947,171.112
1.98,6.873,14.541,7.510,7.865, 14.674,7.510,142.645,28.203,170.848
1.99,6.927,14.488,7.544,7.925, 14.546,7.544,142.123,28.460,170.582
2.00,6.980,14.434,7.579,7.980, 14.417,7.579,141.598,28.717,170.315
2.01,7.034,14.380,7.613,8.030, 14.287,7.613,141.071,28.976,170.047
2.02,7.088,14.326,7.647,8.073, 14.158,7.647,140.542,29.235,169.777
2.03,7.142,14.272,7.681,8.112, 14.028,7.681,140.010,29.495,169.506
2.04,7.196,14.218,7.714,8.145, 13.900,7.714,139.476,29.756,169.233
2.05,7.251,14.163,7.748,8.172, 13.773,7.748,138.940,30.018,168.958
2.06,7.306,14.108,7.782,8.194, 13.648,7.782,138.402,30.281,168.683
2.07,7.361,14.053,7.816,8.210, 13.525,7.816,137.861,30.545,168.405
2.08,7.417,13.998,7.850,8.222, 13.405,7.850,137.317,30.810,168.127
2.09,7.472,13.942,7.884,8.228, 13.288,7.884,136.771,31.075,167.847
2.10,7.528,13.886,7.917,8.230, 13.174,7.917,136.223,31.342,167.565
2.11,7.584,13.830,7.951,8.228, 13.065,7.951,135.673,31.609,167.282
2.12,7.640,13.774,7.985,8.221, 12.960,7.985,135.120,31.877,166.997
2.13,7.697,13.717,8.018,8.211, 12.859,8.018,134.565,32.146,166.711
2.14,7.754,13.660,8.052,8.197, 12.764,8.052,134.008,32.416,166.424
2.15,7.811,13.603,8.085,8.180, 12.674,8.085,133.448,32.686,166.135
2.16,7.868,13.546,8.119,8.161, 12.590,8.119,132.886,32.958,165.844
2.17,7.926,13.488,8.152,8.140, 12.512,8.152,132.322,33.230,165.552
2.18,7.984,13.431,8.186,8.117, 12.440,8.186,131.755,33.504,165.259
2.19,8.042,13.373,8.219,8.094, 12.374,8.219,131.186,33.778,164.964
2.20,8.100,13.314,8.253,8.070, 12.315,8.253,130.615,34.053,164.668
2.21,8.158,13.256,8.286,8.046, 12.262,8.286,130.041,34.329,164.370
2.22,8.217,13.197,8.319,8.022, 12.216,8.319,129.465,34.605,164.071
2.23,8.276,13.138,8.353,8.000, 12.177,8.353,128.887,34.883,163.770
2.24,8.335,13.079,8.386,7.980, 12.144,8.386,128.307,35.161,163.468
2.25,8.394,13.020,8.419,7.962, 12.118,8.419,127.724,35.440,163.164
2.26,8.454,12.960,8.452,7.948, 12.098,8.452,127.139,35.720,162.859
2.27,8.514,12.900,8.485,7.936, 12.084,8.485,126.551,36.001,162.552
2.28,8.574,12.840,8.518,7.929, 12.076,8.518,125.961,36.282,162.244
2.29,8.634,12.780,8.552,7.927, 12.073,8.552,125.369,36.565,161.934
2.30,8.695,12.719,8.585,7.930, 12.076,8.585,124.775,36.848,161.623
2.31,8.756,12.658,8.618,7.938, 12.083,8.618,124.178,37.132,161.310
2.32,8.817,12.597,8.651,7.952, 12.095,8.651,123.579,37.417,160.996
2.33,8.878,12.536,8.684,7.973, 12.110,8.684,122.978,37.702,160.681
2.34,8.940,12.474,8.717,8.001, 12.129,8.717,122.375,37.989,160.363
2.35,9.001,12.413,8.749,8.037, 12.150,8.749,121.769,38.276,160.045
2.36,9.063,12.351,8.782,8.079, 12.174,8.782,121.161,38.564,159.725
2.37,9.126,12.289,8.815,8.130, 12.199,8.815,120.551,38.853,159.403
2.38,9.188,12.226,8.848,8.188, 12.224,8.848,119.938,39.142,159.080
2.39,9.251,12.163,8.881,8.255, 12.250,8.881,119.323,39.433,158.756
2.40,9.314,12.101,8.913,8.329, 12.276,8.913,118.706,39.724,158.430
2.41,9.377,12.037,8.946,8.412, 12.300,8.946,118.086,40.016,158.102
2.42,9.440,11.974,8.979,8.503, 12.322,8.979,117.465,40.308,157.773
2.43,9.504,11.910,9.011,8.601, 12.341,9.011,116.841,40.602,157.443
2.44,9.568,11.847,9.044,8.707, 12.357,9.044,116.215,40.896,157.111
2.45,9.632,11.782,9.076,8.821, 12.368,9.076,115.586,41.191,156.777
2.46,9.696,11.718,9.109,8.942, 12.375,9.109,114.955,41.487,156.442
2.47,9.761,11.654,9.141,9.070, 12.377,9.141,114.322,41.783,156.106
2.48,9.825,11.589,9.174,9.203, 12.372,9.174,113.687,42.081,155.768
2.49,9.890,11.524,9.206,9.343, 12.361,9.206,113.050,42.379,155.428
2.50,9.956,11.459,9.239,9.487, 12.342,9.239,112.410,42.677,155.087
2.51,10.021,11.393,9.271,9.637, 12.316,9.271,111.768,42.977,154.745
2.52,10.087,11.328,9.303,9.789, 12.282,9.303,111.124,43.277,154.401
2.53,10.153,11.262,9.336,9.945, 12.240,9.336,110.477,43.578,154.056
2.54,10.219,11.196,9.368,10.104, 12.189,9.368,109.828,43.880,153.709
2.55,10.285,11.129,9.400,10.264, 12.129,9.400,109.178,44.183,153.360
2.56,10.352,11.063,9.432,10.425, 12.060,9.432,108.524,44.486,153.010
2.57,10.418,10.996,9.465,10.585, 11.982,9.465,107.869,44.790,152.659
2.58,10.485,10.929,9.497,10.745, 11.895,9.497,107.211,45.095,152.306
2.59,10.553,10.862,9.529,10.903, 11.798,9.529,106.551,45.400,151.951
2.60,10.620,10.794,9.561,11.058, 11.693,9.561,105.889,45.706,151.595
2.61,10.688,10.726,9.593,11.209, 11.580,9.593,105.225,46.013,151.238
2.62,10.756,10.658,9.625,11.357, 11.458,9.625,104.558,46.321,150.879
2.63,10.824,10.590,9.657,11.499, 11.328,9.657,103.890,46.629,150.519
2.64,10.892,10.522,9.689,11.636, 11.191,9.689,103.219,46.938,150.157
2.65,10.961,10.453,9.721,11.766, 11.047,9.721,102.545,47.248,149.793
2.66,11.030,10.384,9.753,11.888, 10.897,9.753,101.870,47.558,149.428
2.67,11.099,10.315,9.785,12.003, 10.742,9.785,101.192,47.869,149.062
2.68,11.168,10.246,9.816,12.110, 10.582,9.816,100.513,48.181,148.694
2.69,11.238,10.176,9.848,12.208, 10.418,9.848,99.831,48.494,148.324
2.70,11.308,10.107,9.880,12.297, 10.252,9.880,99.146,48.807,147.953
2.71,11.378,10.037,9.912,12.376, 10.084,9.912,98.460,49.121,147.581
2.72,11.448,9.966,9.943,12.446, 9.914,9.943,97.771,49.435,147.207
2.73,11.518,9.896,9.975,12.507, 9.745,9.975,97.080,49.751,146.831
2.74,11.589,9.825,10.007,12.557, 9.576,10.007,96.387,50.067,146.454
2.75,11.660,9.755,10.038,12.598, 9.410,10.038,95.692,50.384,146.076
2.76,11.731,9.683,10.070,12.630, 9.246,10.070,94.995,50.701,145.696
2.77,11.802,9.612,10.101,12.653, 9.086,10.101,94.295,51.019,145.314
2.78,11.874,9.541,10.133,12.667, 8.932,10.133,93.593,51.338,144.931
2.79,11.945,9.469,10.164,12.673, 8.783,10.164,92.889,51.657,144.546
2.80,12.017,9.397,10.196,12.671, 8.640,10.196,92.183,51.977,144.160
2.81,12.090,9.325,10.227,12.663, 8.505,10.227,91.475,52.298,143.773
2.82,12.162,9.252,10.259,12.649, 8.379,10.259,90.764,52.619,143.383
2.83,12.235,9.180,10.290,12.629, 8.261,10.290,90.052,52.941,142.993
2.84,12.308,9.107,10.321,12.605, 8.152,10.321,89.337,53.264,142.601
2.85,12.381,9.034,10.353,12.578, 8.053,10.353,88.620,53.587,142.207
2.86,12.454,8.960,10.384,12.549, 7.965,10.384,87.900,53.911,141.812
2.87,12.527,8.887,10.415,12.519, 7.887,10.415,87.179,54.236,141.415
2.88,12.601,8.813,10.446,12.489, 7.819,10.446,86.456,54.561,141.017
2.89,12.675,8.739,10.477,12.459, 7.763,10.477,85.730,54.887,140.617
2.90,12.749,8.665,10.508,12.433, 7.716,10.508,85.002,55.214,140.216
2.91,12.824,8.590,10.540,12.409, 7.680,10.540,84.272,55.541,139.813
2.92,12.898,8.516,10.571,12.390, 7.655,10.571,83.540,55.869,139.409
2.93,12.973,8.441,10.602,12.377, 7.638,10.602,82.805,56.198,139.003
2.94,13.048,8.366,10.633,12.370, 7.631,10.633,82.069,56.527,138.596
2.95,13.124,8.291,10.664,12.371, 7.632,10.664,81.330,56.857,138.187
2.96,13.199,8.215,10.695,12.381, 7.640,10.695,80.590,57.187,137.777
2.97,13.275,8.139,10.725,12.400, 7.655,10.725,79.847,57.518,137.365
2.98,13.351,8.063,10.756,12.429, 7.676,10.756,79.102,57.850,136.951
2.99,13.427,7.987,10.787,12.469, 7.701,10.787,78.354,58.182,136.536
3.00,13.503,7.911,10.818,12.520, 7.730,10.818,77.605,58.515,136.120
3.01,13.580,7.834,10.849,12.583, 7.761,10.849,76.853,58.849,135.702
3.02,13.657,7.757,10.880,12.657, 7.792,10.880,76.100,59.183,135.283
3.03,13.734,7.680,10.910,12.744, 7.824,10.910,75.344,59.517,134.862
3.04,13.811,7.603,10.941,12.843, 7.854,10.941,74.586,59.853,134.439
3.05,13.889,7.526,10.972,12.954, 7.880,10.972,73.826,60.189,134.015
3.06,13.966,7.448,11.002,13.076, 7.903,11.002,73.064,60.525,133.589
3.07,14.044,7.370,11.033,13.209, 7.920,11.033,72.300,60.862,133.162
3.08,14.122,7.292,11.063,13.353, 7.931,11.063,71.533,61.200,132.734
3.09,14.201,7.214,11.094,13.507, 7.934,11.094,70.765,61.539,132.304
3.10,14.279,7.135,11.125,13.670, 7.928,11.125,69.994,61.878,131.872
3.11,14.358,7.056,11.155,13.840, 7.912,11.155,69.222,62.217,131.439
3.12,14.437,6.977,11.185,14.018, 7.885,11.185,68.447,62.557,131.004
3.13,14.516,6.898,11.216,14.201, 7.847,11.216,67.670,62.898,130.568
