
Triangle,0,20
,20,0
Time,Sx,Sy,V,EdgeSx,EdgeSy,EdgeW,Ep,Ek,Ec
0.76,2.427,18.988,3.672,3.417, 19.126,3.672,186.268,6.742,193.009
0.77,2.453,18.961,3.718,3.448, 19.063,3.718,186.011,6.911,192.922
0.78,2.479,18.935,3.764,3.477, 18.999,3.764,185.752,7.083,192.834
0.79,2.506,18.908,3.809,3.506, 18.935,3.809,185.489,7.256,192.745
0.80,2.533,18.881,3.855,3.533, 18.869,3.855,185.223,7.431,192.654
0.81,2.561,18.854,3.901,3.559, 18.803,3.901,184.954,7.608,192.562
0.82,2.588,18.826,3.946,3.584, 18.736,3.946,184.682,7.787,192.469
0.83,2.616,18.798,3.992,3.608, 18.669,3.992,184.407,7.968,192.375
0.84,2.645,18.769,4.038,3.630, 18.601,4.038,184.128,8.151,192.279
0.85,2.673,18.741,4.083,3.651, 18.532,4.083,183.847,8.336,192.182
0.86,2.703,18.712,4.128,3.671, 18.463,4.128,183.562,8.522,192.084
0.87,2.732,18.682,4.174,3.689, 18.394,4.174,183.274,8.711,191.984
0.88,2.762,18.653,4.219,3.706, 18.324,4.219,182.983,8.901,191.884
0.89,2.792,18.623,4.265,3.721, 18.255,4.265,182.688,9.093,191.782
0.90,2.822,18.592,4.310,3.735, 18.185,4.310,182.391,9.287,191.678
0.91,2.852,18.562,4.355,3.747, 18.115,4.355,182.091,9.483,191.574
0.92,2.883,18.531,4.400,3.758, 18.045,4.400,181.787,9.681,191.468
0.93,2.915,18.499,4.445,3.767, 17.976,4.445,181.480,9.880,191.360
0.94,2.946,18.468,4.490,3.774, 17.907,4.490,181.170,10.082,191.252
0.95,2.978,18.436,4.535,3.780, 17.838,4.535,180.857,10.285,191.142
0.96,3.010,18.404,4.580,3.784, 17.770,4.580,180.541,10.490,191.031
0.97,3.043,18.371,4.625,3.786, 17.702,4.625,180.222,10.697,190.919
0.98,3.076,18.338,4.670,3.787, 17.636,4.670,179.899,10.906,190.805
0.99,3.109,18.305,4.715,3.787, 17.570,4.715,179.574,11.116,190.690
1.00,3.143,18.272,4.760,3.785, 17.505,4.760,179.245,11.328,190.574
1.01,3.176,18.238,4.805,3.781, 17.441,4.805,178.913,11.543,190.456
1.02,3.210,18.204,4.849,3.776, 17.379,4.849,178.579,11.758,190.337
1.03,3.245,18.169,4.894,3.770, 17.318,4.894,178.241,11.976,190.217
1.04,3.280,18.135,4.939,3.762, 17.259,4.939,177.900,12.195,190.095
1.05,3.315,18.099,4.983,3.753, 17.201,4.983,177.555,12.417,189.972
1.06,3.350,18.064,5.028,3.743, 17.144,5.028,177.208,12.640,189.848
1.07,3.386,18.028,5.072,3.732, 17.090,5.072,176.858,12.864,189.722
1.08,3.422,17.992,5.117,3.720, 17.038,5.117,176.504,13.091,189.595
1.09,3.458,17.956,5.161,3.707, 16.987,5.161,176.148,13.319,189.467
1.10,3.495,17.919,5.206,3.693, 16.939,5.206,175.788,13.549,189.337
1.11,3.532,17.882,5.250,3.678, 16.893,5.250,175.426,13.781,189.206
1.12,3.569,17.845,5.294,3.663, 16.849,5.294,175.060,14.014,189.074
1.13,3.607,17.807,5.338,3.648, 16.808,5.338,174.691,14.249,188.941
1.14,3.645,17.770,5.383,3.632, 16.770,5.383,174.319,14.486,188.806
1.15,3.683,17.731,5.427,3.616, 16.734,5.427,173.945,14.725,188.669
1.16,3.721,17.693,5.471,3.600, 16.700,5.471,173.567,14.965,188.532
1.17,3.760,17.654,5.515,3.585, 16.669,5.515,173.186,15.207,188.393
1.18,3.799,17.615,5.559,3.570, 16.642,5.559,172.802,15.451,188.252
1.19,3.839,17.575,5.603,3.555, 16.616,5.603,172.414,15.696,188.110
1.20,3.879,17.536,5.647,3.542, 16.594,5.647,172.024,15.943,187.967
1.21,3.919,17.496,5.691,3.529, 16.575,5.691,171.631,16.192,187.823
1.22,3.959,17.455,5.735,3.517, 16.558,5.735,171.235,16.442,187.677
1.23,4.000,17.414,5.778,3.507, 16.544,5.778,170.835,16.694,187.530
1.24,4.041,17.373,5.822,3.499, 16.533,5.822,170.433,16.948,187.381
1.25,4.082,17.332,5.866,3.492, 16.525,5.866,170.028,17.203,187.231
1.26,4.124,17.290,5.909,3.487, 16.519,5.909,169.619,17.461,187.080
1.27,4.166,17.249,5.953,3.484, 16.517,5.953,169.208,17.719,186.927
1.28,4.208,17.206,5.997,3.484, 16.516,5.997,168.793,17.980,186.773
1.29,4.251,17.164,6.040,3.486, 16.519,6.040,168.376,18.242,186.617
1.30,4.293,17.121,6.084,3.492, 16.523,6.084,167.955,18.505,186.461
1.31,4.337,17.078,6.127,3.500, 16.530,6.127,167.532,18.770,186.302
1.32,4.380,17.034,6.170,3.511, 16.539,6.170,167.105,19.037,186.143
1.33,4.424,16.990,6.214,3.526, 16.550,6.214,166.676,19.306,185.982
1.34,4.468,16.946,6.257,3.544, 16.563,6.257,166.243,19.576,185.819
1.35,4.512,16.902,6.300,3.567, 16.577,6.300,165.808,19.847,185.655
1.36,4.557,16.857,6.344,3.593, 16.593,6.344,165.369,20.121,185.490
1.37,4.602,16.812,6.387,3.623, 16.609,6.387,164.928,20.396,185.323
1.38,4.647,16.767,6.430,3.657, 16.627,6.430,164.483,20.672,185.155
1.39,4.693,16.721,6.473,3.696, 16.646,6.473,164.036,20.950,184.986
1.40,4.739,16.675,6.516,3.739, 16.665,6.516,163.585,21.230,184.815
