,,,,,,,,m,L,G,K,dT,T,,,,,,,,,,,,
Time,Alpha,Sx,Sy,Ep,Ek,Ec,,2kg,1m,-9.81,0.1,0.01s,4s,,,,,,,,,,,,
0.64,-0.296,-0.292,-0.956,0.856,5.013,5.869,,,,,,,,,,,,,,,,,,,
0.65,-0.319,-0.313,-0.95,0.989,4.881,5.87,,,,,,,,,,,,,,,,,,,
0.66,-0.341,-0.334,-0.942,1.129,4.741,5.87,,,,,,,,,,,,,,,,,,,
0.67,-0.363,-0.355,-0.935,1.277,4.595,5.871,,,,,,,,,,,,,,,,,,,
0.68,-0.384,-0.375,-0.927,1.43,4.442,5.872,,,,,,,,,,,,,,,,,,,
0.69,-0.405,-0.394,-0.919,1.589,4.284,5.873,,,,,,,,,,,,,,,,,,,
0.7,-0.426,-0.413,-0.911,1.753,4.121,5.874,,,,,,,,,,,,,,,,,,,
0.71,-0.446,-0.432,-0.902,1.921,3.954,5.876,,,,,,,,,,,,,,,,,,,
0.72,-0.466,-0.449,-0.893,2.093,3.784,5.877,,,,,,,,,,,,,,,,,,,
0.73,-0.486,-0.467,-0.884,2.268,3.611,5.878,,,,,,,,,,,,,,,,,,,
0.74,-0.505,-0.483,-0.875,2.445,3.435,5.88,,,,,,,,,,,,,,,,,,,
0.75,-0.523,-0.5,-0.866,2.624,3.258,5.882,,,,,,,,,,,,,,,,,,,
0.76,-0.541,-0.515,-0.857,2.803,3.081,5.884,,,,,,,,,,,,,,,,,,,
0.77,-0.559,-0.53,-0.848,2.983,2.903,5.886,,,,,,,,,,,,,,,,,,,
0.78,-0.576,-0.544,-0.839,3.163,2.726,5.888,,,,,,,,,,,,,,,,,,,
0.79,-0.592,-0.558,-0.83,3.341,2.549,5.891,,,,,,,,,,,,,,,,,,,
0.8,-0.608,-0.571,-0.821,3.518,2.375,5.893,,,,,,,,,,,,,,,,,,,
0.81,-0.624,-0.584,-0.812,3.693,2.203,5.896,,,,,,,,,,,,,,,,,,,
0.82,-0.638,-0.596,-0.803,3.865,2.034,5.899,,,,,,,,,,,,,,,,,,,
0.83,-0.653,-0.607,-0.794,4.033,1.869,5.902,,,,,,,,,,,,,,,,,,,
0.84,-0.666,-0.618,-0.786,4.198,1.708,5.905,,,,,,,,,,,,,,,,,,,
0.85,-0.679,-0.628,-0.778,4.357,1.551,5.909,,,,,,,,,,,,,,,,,,,
0.86,-0.692,-0.638,-0.77,4.512,1.4,5.912,,,,,,,,,,,,,,,,,,,
0.87,-0.704,-0.647,-0.762,4.661,1.255,5.916,,,,,,,,,,,,,,,,,,,
0.88,-0.715,-0.656,-0.755,4.805,1.115,5.92,,,,,,,,,,,,,,,,,,,
0.89,-0.726,-0.664,-0.748,4.941,0.982,5.924,,,,,,,,,,,,,,,,,,,
0.9,-0.735,-0.671,-0.742,5.071,0.857,5.928,,,,,,,,,,,,,,,,,,,
0.91,-0.745,-0.678,-0.735,5.193,0.738,5.932,,,,,,,,,,,,,,,,,,,
0.92,-0.753,-0.684,-0.729,5.308,0.628,5.936,,,,,,,,,,,,,,,,,,,
0.93,-0.761,-0.69,-0.724,5.415,0.526,5.94,,,,,,,,,,,,,,,,,,,
0.94,-0.768,-0.695,-0.719,5.513,0.432,5.945,,,,,,,,,,,,,,,,,,,
0.95,-0.775,-0.7,-0.714,5.603,0.346,5.95,,,,,,,,,,,,,,,,,,,
0.96,-0.781,-0.704,-0.71,5.684,0.27,5.954,,,,,,,,,,,,,,,,,,,
0.97,-0.786,-0.708,-0.707,5.756,0.203,5.959,,,,,,,,,,,,,,,,,,,
0.98,-0.791,-0.711,-0.703,5.819,0.145,5.964,,,,,,,,,,,,,,,,,,,
0.99,-0.794,-0.713,-0.701,5.872,0.096,5.969,,,,,,,,,,,,,,,,,,,
1,-0.798,-0.716,-0.698,5.916,0.058,5.973,,,,,,,,,,,,,,,,,,,
1.01,-0.8,-0.717,-0.697,5.949,0.029,5.978,,,,,,,,,,,,,,,,,,,
1.02,-0.802,-0.718,-0.696,5.973,0.01,5.983,,,,,,,,,,,,,,,,,,,
1.03,-0.803,-0.719,-0.695,5.987,0.001,5.988,,,,,,,,,,,,,,,,,,,
1.04,-0.803,-0.719,-0.695,5.992,0.002,5.993,,,,,,,,,,,,,,,,,,,
1.05,-0.802,-0.719,-0.695,5.986,0.013,5.998,,,,,,,,,,,,,,,,,,,
1.06,-0.801,-0.718,-0.696,5.97,0.033,6.003,,,,,,,,,,,,,,,,,,,
1.07,-0.8,-0.717,-0.697,5.944,0.064,6.008,,,,,,,,,,,,,,,,,,,
1.08,-0.797,-0.715,-0.699,5.909,0.104,6.013,,,,,,,,,,,,,,,,,,,
1.09,-0.794,-0.713,-0.701,5.863,0.155,6.018,,,,,,,,,,,,,,,,,,,
1.1,-0.79,-0.71,-0.704,5.809,0.214,6.023,,,,,,,,,,,,,,,,,,,
1.11,-0.785,-0.707,-0.707,5.744,0.283,6.027,,,,,,,,,,,,,,,,,,,
1.12,-0.78,-0.703,-0.711,5.671,0.362,6.032,,,,,,,,,,,,,,,,,,,
1.13,-0.774,-0.699,-0.715,5.588,0.449,6.037,,,,,,,,,,,,,,,,,,,
1.14,-0.767,-0.694,-0.72,5.496,0.545,6.041,,,,,,,,,,,,,,,,,,,
1.15,-0.76,-0.689,-0.725,5.396,0.65,6.046,,,,,,,,,,,,,,,,,,,
1.16,-0.752,-0.683,-0.73,5.288,0.762,6.05,,,,,,,,,,,,,,,,,,,
1.17,-0.743,-0.677,-0.736,5.171,0.883,6.054,,,,,,,,,,,,,,,,,,,
1.18,-0.734,-0.67,-0.743,5.047,1.011,6.058,,,,,,,,,,,,,,,,,,,
1.19,-0.724,-0.662,-0.749,4.916,1.147,6.062,,,,,,,,,,,,,,,,,,,
1.2,-0.713,-0.654,-0.756,4.777,1.289,6.066,,,,,,,,,,,,,,,,,,,
1.21,-0.702,-0.645,-0.764,4.633,1.437,6.07,,,,,,,,,,,,,,,,,,,
1.22,-0.69,-0.636,-0.772,4.482,1.591,6.073,,,,,,,,,,,,,,,,,,,
1.23,-0.677,-0.626,-0.78,4.326,1.751,6.077,,,,,,,,,,,,,,,,,,,
1.24,-0.664,-0.616,-0.788,4.165,1.916,6.08,,,,,,,,,,,,,,,,,,,
1.25,-0.65,-0.605,-0.796,3.999,2.085,6.083,,,,,,,,,,,,,,,,,,,
1.26,-0.635,-0.593,-0.805,3.829,2.257,6.086,,,,,,,,,,,,,,,,,,,
1.27,-0.62,-0.581,-0.814,3.656,2.433,6.089,,,,,,,,,,,,,,,,,,,
1.28,-0.605,-0.569,-0.823,3.48,2.612,6.092,,,,,,,,,,,,,,,,,,,
1.29,-0.589,-0.555,-0.832,3.302,2.793,6.094,,,,,,,,,,,,,,,,,,,
1.3,-0.572,-0.541,-0.841,3.122,2.975,6.097,,,,,,,,,,,,,,,,,,,
1.31,-0.555,-0.527,-0.85,2.941,3.158,6.099,,,,,,,,,,,,,,,,,,,
1.32,-0.537,-0.511,-0.859,2.76,3.341,6.101,,,,,,,,,,,,,,,,,,,
1.33,-0.519,-0.496,-0.869,2.58,3.523,6.103,,,,,,,,,,,,,,,,,,,
1.34,-0.5,-0.479,-0.878,2.4,3.705,6.105,,,,,,,,,,,,,,,,,,,
1.35,-0.481,-0.462,-0.887,2.222,3.884,6.106,,,,,,,,,,,,,,,,,,,
1.36,-0.461,-0.445,-0.896,2.047,4.061,6.108,,,,,,,,,,,,,,,,,,,
1.37,-0.441,-0.427,-0.904,1.875,4.234,6.109,,,,,,,,,,,,,,,,,,,
1.38,-0.42,-0.408,-0.913,1.706,4.404,6.11,,,,,,,,,,,,,,,,,,,
1.39,-0.399,-0.389,-0.921,1.542,4.569,6.111,,,,,,,,,,,,,,,,,,,
1.4,-0.378,-0.369,-0.929,1.383,4.729,6.112,,,,,,,,,,,,,,,,,,,
1.41,-0.356,-0.349,-0.937,1.23,4.883,6.113,,,,,,,,,,,,,,,,,,,
1.42,-0.334,-0.328,-0.945,1.084,5.03,6.114,,,,,,,,,,,,,,,,,,,
1.43,-0.312,-0.306,-0.952,0.944,5.17,6.115,,,,,,,,,,,,,,,,,,,
1.44,-0.289,-0.285,-0.959,0.812,5.303,6.115,,,,,,,,,,,,,,,,,,,
1.45,-0.266,-0.263,-0.965,0.689,5.427,6.115,,,,,,,,,,,,,,,,,,,
1.46,-0.242,-0.24,-0.971,0.574,5.542,6.116,,,,,,,,,,,,,,,,,,,
1.47,-0.219,-0.217,-0.976,0.468,5.648,6.116,,,,,,,,,,,,,,,,,,,
1.48,-0.195,-0.194,-0.981,0.372,5.744,6.116,,,,,,,,,,,,,,,,,,,
1.49,-0.171,-0.17,-0.985,0.287,5.83,6.116,,,,,,,,,,,,,,,,,,,
1.5,-0.147,-0.147,-0.989,0.212,5.905,6.116,,,,,,,,,,,,,,,,,,,
1.51,-0.123,-0.122,-0.992,0.148,5.969,6.116,,,,,,,,,,,,,,,,,,,
1.52,-0.098,-0.098,-0.995,0.095,6.022,6.116,,,,,,,,,,,,,,,,,,,
1.53,-0.074,-0.074,-0.997,0.053,6.063,6.116,,,,,,,,,,,,,,,,,,,
1.54,-0.049,-0.049,-0.999,0.024,6.092,6.116,,,,,,,,,,,,,,,,,,,
1.55,-0.024,-0.024,-1,0.006,6.11,6.116,,,,,,,,,,,,,,,,,,,
1.56,0,0,-1,0,6.116,6.116,,,,,,,,,,,,,,,,,,,
1.57,0.025,0.025,-1,0.006,6.11,6.116,,,,,,,,,,,,,,,,,,,
1.58,0.05,0.05,-0.999,0.024,6.091,6.116,,,,,,,,,,,,,,,,,,,
1.59,0.074,0.074,-0.997,0.054,6.061,6.116,,,,,,,,,,,,,,,,,,,
1.6,0.099,0.099,-0.995,0.096,6.019,6.116,,,,,,,,,,,,,,,,,,,
1.61,0.124,0.123,-0.992,0.15,5.966,6.116,,,,,,,,,,,,,,,,,,,
1.62,0.148,0.147,-0.989,0.214,5.901,6.116,,,,,,,,,,,,,,,,,,,
1.63,0.172,0.171,-0.985,0.29,5.825,6.116,,,,,,,,,,,,,,,,,,,
1.64,0.196,0.195,-0.981,0.377,5.739,6.116,,,,,,,,,,,,,,,,,,,
1.65,0.22,0.219,-0.976,0.474,5.641,6.116,,,,,,,,,,,,,,,,,,,
1.66,0.244,0.242,-0.97,0.582,5.534,6.116,,,,,,,,,,,,,,,,,,,
1.67,0.268,0.264,-0.964,0.698,5.418,6.117,,,,,,,,,,,,,,,,,,,
1.68,0.291,0.287,-0.958,0.824,5.293,6.117,,,,,,,,,,,,,,,,,,,
1.69,0.314,0.309,-0.951,0.959,5.159,6.117,,,,,,,,,,,,,,,,,,,
1.7,0.337,0.33,-0.944,1.101,5.017,6.118,,,,,,,,,,,,,,,,,,,
1.71,0.359,0.351,-0.936,1.251,4.868,6.119,,,,,,,,,,,,,,,,,,,
1.72,0.381,0.372,-0.928,1.408,4.712,6.12,,,,,,,,,,,,,,,,,,,
1.73,0.403,0.392,-0.92,1.57,4.55,6.121,,,,,,,,,,,,,,,,,,,
1.74,0.424,0.412,-0.911,1.738,4.383,6.122,,,,,,,,,,,,,,,,,,,
1.75,0.445,0.431,-0.903,1.911,4.212,6.123,,,,,,,,,,,,,,,,,,,
1.76,0.466,0.449,-0.894,2.088,4.036,6.124,,,,,,,,,,,,,,,,,,,
1.77,0.486,0.467,-0.884,2.269,3.857,6.126,,,,,,,,,,,,,,,,,,,
1.78,0.505,0.484,-0.875,2.452,3.675,6.128,,,,,,,,,,,,,,,,,,,
1.79,0.524,0.501,-0.866,2.637,3.492,6.129,,,,,,,,,,,,,,,,,,,
1.8,0.543,0.517,-0.856,2.824,3.307,6.131,,,,,,,,,,,,,,,,,,,
1.81,0.561,0.532,-0.847,3.011,3.122,6.133,,,,,,,,,,,,,,,,,,,
1.82,0.579,0.547,-0.837,3.198,2.938,6.136,,,,,,,,,,,,,,,,,,,
1.83,0.596,0.561,-0.827,3.385,2.754,6.138,,,,,,,,,,,,,,,,,,,
1.84,0.613,0.575,-0.818,3.57,2.571,6.141,,,,,,,,,,,,,,,,,,,
1.85,0.629,0.588,-0.809,3.753,2.391,6.144,,,,,,,,,,,,,,,,,,,
1.86,0.644,0.601,-0.8,3.933,2.214,6.146,,,,,,,,,,,,,,,,,,,
1.87,0.659,0.612,-0.791,4.11,2.04,6.15,,,,,,,,,,,,,,,,,,,
1.88,0.673,0.624,-0.782,4.283,1.87,6.153,,,,,,,,,,,,,,,,,,,
1.89,0.687,0.634,-0.773,4.452,1.704,6.156,,,,,,,,,,,,,,,,,,,
1.9,0.7,0.644,-0.765,4.616,1.544,6.16,,,,,,,,,,,,,,,,,,,
1.91,0.713,0.654,-0.757,4.774,1.389,6.163,,,,,,,,,,,,,,,,,,,
1.92,0.724,0.663,-0.749,4.926,1.241,6.167,,,,,,,,,,,,,,,,,,,
1.93,0.736,0.671,-0.741,5.072,1.099,6.171,,,,,,,,,,,,,,,,,,,
1.94,0.746,0.679,-0.734,5.211,0.965,6.175,,,,,,,,,,,,,,,,,,,
1.95,0.756,0.686,-0.728,5.342,0.837,6.18,,,,,,,,,,,,,,,,,,,
1.96,0.765,0.693,-0.721,5.466,0.718,6.184,,,,,,,,,,,,,,,,,,,
1.97,0.773,0.699,-0.716,5.582,0.607,6.188,,,,,,,,,,,,,,,,,,,
1.98,0.781,0.704,-0.71,5.689,0.504,6.193,,,,,,,,,,,,,,,,,,,
1.99,0.788,0.709,-0.705,5.787,0.41,6.198,,,,,,,,,,,,,,,,,,,
2,0.795,0.714,-0.7,5.877,0.326,6.202,,,,,,,,,,,,,,,,,,,
2.01,0.8,0.718,-0.696,5.957,0.25,6.207,,,,,,,,,,,,,,,,,,,
2.02,0.805,0.721,-0.693,6.027,0.185,6.212,,,,,,,,,,,,,,,,,,,
2.03,0.81,0.724,-0.69,6.088,0.129,6.217,,,,,,,,,,,,,,,,,,,
2.04,0.813,0.727,-0.687,6.139,0.083,6.222,,,,,,,,,,,,,,,,,,,
2.05,0.816,0.729,-0.685,6.18,0.047,6.227,,,,,,,,,,,,,,,,,,,
2.06,0.818,0.73,-0.683,6.211,0.021,6.232,,,,,,,,,,,,,,,,,,,
2.07,0.82,0.731,-0.682,6.232,0.005,6.237,,,,,,,,,,,,,,,,,,,
2.08,0.821,0.732,-0.682,6.243,0,6.243,,,,,,,,,,,,,,,,,,,
2.09,0.821,0.732,-0.682,6.243,0.005,6.248,,,,,,,,,,,,,,,,,,,
2.1,0.82,0.731,-0.682,6.233,0.02,6.253,,,,,,,,,,,,,,,,,,,
2.11,0.818,0.73,-0.683,6.212,0.046,6.258,,,,,,,,,,,,,,,,,,,
2.12,0.816,0.729,-0.685,6.182,0.082,6.263,,,,,,,,,,,,,,,,,,,
2.13,0.813,0.727,-0.687,6.141,0.127,6.268,,,,,,,,,,,,,,,,,,,
2.14,0.81,0.724,-0.69,6.09,0.183,6.273,,,,,,,,,,,,,,,,,,,
2.15,0.806,0.721,-0.693,6.029,0.249,6.278,,,,,,,,,,,,,,,,,,,
2.16,0.801,0.718,-0.696,5.959,0.324,6.283,,,,,,,,,,,,,,,,,,,
2.17,0.795,0.714,-0.7,5.879,0.409,6.288,,,,,,,,,,,,,,,,,,,
2.18,0.789,0.709,-0.705,5.79,0.503,6.293,,,,,,,,,,,,,,,,,,,
2.19,0.781,0.704,-0.71,5.691,0.606,6.297,,,,,,,,,,,,,,,,,,,
2.2,0.774,0.699,-0.715,5.584,0.717,6.302,,,,,,,,,,,,,,,,,,,
